Date	Site	Keyword	Market	Location	Device	Google	Google Base Rank	Yahoo	Bing	Google URL	Yahoo URL	Bing URL	Advertiser Competition	Global Monthly Searches	Regional Monthly Searches	CPC	Tags
2016-02-01	STAT	(not provided)	GB-en		desktop								0	5400	110	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-02	STAT	(not provided)	GB-en		desktop								0	5400	110	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-03	STAT	(not provided)	GB-en		desktop								0	5400	110	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-04	STAT	(not provided)	GB-en		desktop								0	5400	110	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-05	STAT	(not provided)	GB-en		desktop								0	5400	110	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-06	STAT	(not provided)	GB-en		desktop								0	5400	110	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-07	STAT	(not provided)	GB-en		desktop								0	5400	110	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-08	STAT	(not provided)	GB-en		desktop								0	5400	110	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-09	STAT	(not provided)	GB-en		desktop								0	5400	110	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-10	STAT	(not provided)	GB-en		desktop								0	5400	110	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-11	STAT	(not provided)	GB-en		desktop								0	5400	110	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-12	STAT	(not provided)	GB-en		desktop								0	5400	110	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-13	STAT	(not provided)	GB-en		desktop								0	5400	110	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-14	STAT	(not provided)	GB-en		desktop								0	5400	110	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-15	STAT	(not provided)	GB-en		desktop								0	5400	110	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-01	STAT	(not provided)	US-en		desktop								0.07	5400	720	12.75	desktop keywords / desktop, us-en / google webmaster tools
2016-02-02	STAT	(not provided)	US-en		desktop								0.07	5400	720	12.75	desktop keywords / desktop, us-en / google webmaster tools
2016-02-03	STAT	(not provided)	US-en		desktop								0.07	5400	720	12.75	desktop keywords / desktop, us-en / google webmaster tools
2016-02-04	STAT	(not provided)	US-en		desktop								0.07	5400	720	12.75	desktop keywords / desktop, us-en / google webmaster tools
2016-02-05	STAT	(not provided)	US-en		desktop								0.07	5400	720	12.75	desktop keywords / desktop, us-en / google webmaster tools
2016-02-06	STAT	(not provided)	US-en		desktop								0.07	5400	720	12.75	desktop keywords / desktop, us-en / google webmaster tools
2016-02-07	STAT	(not provided)	US-en		desktop								0.07	5400	720	12.75	desktop keywords / desktop, us-en / google webmaster tools
2016-02-08	STAT	(not provided)	US-en		desktop								0.07	5400	720	12.75	desktop keywords / desktop, us-en / google webmaster tools
2016-02-09	STAT	(not provided)	US-en		desktop								0.07	5400	720	12.75	desktop keywords / desktop, us-en / google webmaster tools
2016-02-10	STAT	(not provided)	US-en		desktop								0.07	5400	720	12.75	desktop keywords / desktop, us-en / google webmaster tools
2016-02-11	STAT	(not provided)	US-en		desktop								0.07	5400	720	12.75	desktop keywords / desktop, us-en / google webmaster tools
2016-02-12	STAT	(not provided)	US-en		desktop								0.07	5400	720	12.75	desktop keywords / desktop, us-en / google webmaster tools
2016-02-13	STAT	(not provided)	US-en		desktop								0.07	5400	720	12.75	desktop keywords / desktop, us-en / google webmaster tools
2016-02-14	STAT	(not provided)	US-en		desktop								0.07	5400	720	12.75	desktop keywords / desktop, us-en / google webmaster tools
2016-02-15	STAT	(not provided)	US-en		desktop								0.07	5400	720	12.75	desktop keywords / desktop, us-en / google webmaster tools
2016-02-01	STAT	360 seo	GB-en		desktop								0.41	50	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-02	STAT	360 seo	GB-en		desktop								0.41	50	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-03	STAT	360 seo	GB-en		desktop								0.41	50	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-04	STAT	360 seo	GB-en		desktop								0.41	50	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-05	STAT	360 seo	GB-en		desktop								0.41	50	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-06	STAT	360 seo	GB-en		desktop								0.41	50	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-07	STAT	360 seo	GB-en		desktop								0.41	50	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-08	STAT	360 seo	GB-en		desktop								0.41	50	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-09	STAT	360 seo	GB-en		desktop								0.41	50	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-10	STAT	360 seo	GB-en		desktop								0.41	50	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-11	STAT	360 seo	GB-en		desktop								0.41	50	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-12	STAT	360 seo	GB-en		desktop								0.41	50	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-13	STAT	360 seo	GB-en		desktop								0.41	50	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-14	STAT	360 seo	GB-en		desktop								0.41	50	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-15	STAT	360 seo	GB-en		desktop								0.41	50	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-01	STAT	360 seo	US-en		desktop								0.71	50	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-02	STAT	360 seo	US-en		desktop								0.71	50	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-03	STAT	360 seo	US-en		desktop								0.71	50	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-04	STAT	360 seo	US-en		desktop								0.71	50	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-05	STAT	360 seo	US-en		desktop								0.71	50	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-06	STAT	360 seo	US-en		desktop								0.71	50	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-07	STAT	360 seo	US-en		desktop								0.71	50	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-08	STAT	360 seo	US-en		desktop								0.71	50	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-09	STAT	360 seo	US-en		desktop								0.71	50	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-10	STAT	360 seo	US-en		desktop								0.71	50	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-11	STAT	360 seo	US-en		desktop								0.71	50	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-12	STAT	360 seo	US-en		desktop								0.71	50	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-13	STAT	360 seo	US-en		desktop								0.71	50	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-14	STAT	360 seo	US-en		desktop								0.71	50	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-15	STAT	360 seo	US-en		desktop								0.71	50	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-01	STAT	360i conference	GB-en		desktop								0	10	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-02	STAT	360i conference	GB-en		desktop								0	10	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-03	STAT	360i conference	GB-en		desktop								0	10	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-04	STAT	360i conference	GB-en		desktop								0	10	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-05	STAT	360i conference	GB-en		desktop								0	10	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-06	STAT	360i conference	GB-en		desktop								0	10	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-07	STAT	360i conference	GB-en		desktop								0	10	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-08	STAT	360i conference	GB-en		desktop								0	10	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-09	STAT	360i conference	GB-en		desktop								0	10	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-10	STAT	360i conference	GB-en		desktop								0	10	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-11	STAT	360i conference	GB-en		desktop								0	10	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-12	STAT	360i conference	GB-en		desktop								0	10	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-13	STAT	360i conference	GB-en		desktop								0	10	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-14	STAT	360i conference	GB-en		desktop								0	10	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-15	STAT	360i conference	GB-en		desktop								0	10	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-01	STAT	360i conference	US-en		desktop								0	10	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-02	STAT	360i conference	US-en		desktop								0	10	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-03	STAT	360i conference	US-en		desktop								0	10	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-04	STAT	360i conference	US-en		desktop								0	10	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
